listing_id,property_type,number_of_bedrooms,guest_capacity,location_score,review_score,amenities_count,host_response_time,season,minimum_stay_nights,years_as_host,cleaning_fee,cancellation_policy,nightly_rate
100822,Standard Apartment,2,4,75.17,4.87,8,within an hour,peak,2,1.6,21.43,flexible,187.29
100908,Standard Apartment,2,3,67.07,4.06,6,>24 hours,off-peak,2,4.1,38.3,flexible,255.64
101850,Standard Apartment,1,2,76.57,4.16,10,same day,off-peak,1,2.3,50.34,flexible,62.82
102385,Standard Apartment,2,2,88.14,3.74,11,same day,shoulder,2,1.6,35.37,strict,203.8
103827,Luxury Home,4,4,58.63,3.37,15,same day,peak,4,0.9,94.9,strict,1000.0
100701,Tiny Studio,1,3,72.66,4.11,7,>24 hours,shoulder,1,0.4,17.1,strict,144.01
100081,Luxury Home,4,4,83.74,4.12,15,>24 hours,shoulder,2,2.7,68.42,flexible,240.09
102941,Luxury Home,5,7,82.75,4.73,14,within an hour,peak,3,5.2,38.72,flexible,403.64
100650,Standard Apartment,1,3,68.52,4.0,5,within an hour,off-peak,3,4.1,24.04,flexible,118.21
101355,Standard Apartment,2,4,73.27,3.45,7,same day,shoulder,2,3.6,27.17,strict,122.25
103834,Standard Apartment,2,2,64.97,4.24,6,same day,shoulder,2,7.9,24.35,strict,69.82
100975,Luxury Home,3,3,65.24,3.78,8,within an hour,peak,3,1.5,45.15,moderate,370.1
101547,Standard Apartment,1,3,80.45,4.05,6,same day,peak,1,0.4,47.0,moderate,130.75
102022,Standard Apartment,1,3,45.16,3.95,3,within an hour,shoulder,1,0.3,23.78,flexible,98.43
103607,Tiny Studio,1,2,50.56,2.79,3,within an hour,shoulder,1,9.3,10.57,moderate,147.18
102978,Tiny Studio,1,3,56.47,3.27,4,same day,peak,1,2.7,10.74,moderate,98.33
103714,Standard Apartment,2,4,60.49,3.86,4,within an hour,peak,3,5.0,32.07,strict,313.16
100040,Standard Apartment,2,3,70.02,3.24,9,within an hour,peak,1,2.3,46.14,moderate,87.66
103599,Standard Apartment,1,3,58.41,3.42,3,>24 hours,shoulder,3,1.5,31.7,flexible,129.5
101945,Luxury Home,4,6,63.3,4.07,7,same day,off-peak,3,0.7,69.78,flexible,121.57
100034,Standard Apartment,1,3,80.54,4.39,8,>24 hours,off-peak,2,5.8,11.54,flexible,75.36
102943,Standard Apartment,1,2,66.94,3.25,10,same day,off-peak,1,0.2,33.05,moderate,90.75
101028,Tiny Studio,1,1,68.38,4.11,4,same day,shoulder,1,6.9,21.33,flexible,92.18
100669,Luxury Home,4,6,53.77,3.37,6,same day,shoulder,2,0.7,50.9,flexible,284.74
102083,Standard Apartment,2,3,78.42,3.49,5,within an hour,peak,3,0.0,18.12,flexible,301.78
100181,Standard Apartment,2,4,62.43,5.0,7,same day,off-peak,3,0.3,26.64,strict,60.52
103825,Standard Apartment,1,2,61.71,3.94,6,within an hour,shoulder,1,6.4,33.83,flexible,90.31
102521,Luxury Home,4,6,85.89,3.97,11,>24 hours,off-peak,5,0.2,70.75,moderate,175.59
103363,Tiny Studio,1,2,69.39,4.27,3,within an hour,shoulder,1,1.3,12.36,flexible,217.58
103327,Standard Apartment,2,2,67.32,3.77,10,within an hour,peak,3,0.9,23.77,flexible,76.67
101765,Standard Apartment,2,2,58.12,3.56,7,same day,peak,3,0.1,22.75,strict,161.9
101221,Luxury Home,4,4,95.05,4.71,15,same day,off-peak,3,2.3,55.41,moderate,202.82
102155,Standard Apartment,2,4,74.55,4.25,9,within an hour,peak,3,19.2,31.07,flexible,61.26
103385,Standard Apartment,1,2,51.77,4.15,3,within an hour,peak,3,5.8,14.31,strict,223.54
103079,Luxury Home,5,7,76.62,4.96,14,same day,off-peak,5,0.6,82.44,strict,155.79
102916,Luxury Home,4,6,51.76,4.23,10,within an hour,shoulder,5,6.5,56.45,moderate,392.22
100562,Tiny Studio,1,2,57.79,4.49,5,within an hour,peak,1,1.8,9.63,moderate,81.99
103592,Luxury Home,4,6,44.26,3.89,7,within an hour,peak,3,1.0,49.68,flexible,212.02
101725,Luxury Home,5,6,57.25,4.19,10,within an hour,peak,5,3.1,38.46,moderate,528.4
100785,Standard Apartment,2,3,74.87,4.41,5,within an hour,shoulder,1,0.7,30.12,flexible,107.7
101918,Standard Apartment,1,1,75.77,3.43,5,>24 hours,off-peak,3,6.4,36.6,strict,128.27
103043,Luxury Home,3,3,78.58,4.3,5,within an hour,peak,3,2.9,69.13,moderate,115.07
100274,Standard Apartment,1,1,73.99,4.65,6,within an hour,off-peak,2,0.4,34.3,flexible,110.82
100959,Luxury Home,4,5,66.36,3.51,14,>24 hours,peak,3,2.5,69.92,flexible,376.1
103194,Luxury Home,5,5,53.95,3.36,8,same day,peak,5,2.1,65.8,flexible,490.72
101510,Luxury Home,4,5,64.72,3.75,9,within an hour,off-peak,5,1.9,30.89,flexible,193.22
101635,Tiny Studio,1,3,65.3,3.96,7,within an hour,peak,1,1.4,7.55,strict,94.43
100324,Luxury Home,5,5,73.44,4.04,15,same day,off-peak,5,1.9,47.69,flexible,175.01
103036,Luxury Home,5,6,71.96,4.13,11,within an hour,off-peak,4,2.6,62.51,flexible,111.86
102757,Standard Apartment,2,3,55.7,3.73,7,same day,peak,3,4.0,43.24,moderate,89.85
103479,Tiny Studio,1,2,79.81,3.09,7,same day,shoulder,1,7.5,13.37,moderate,110.11
103547,Luxury Home,3,4,70.95,3.92,8,within an hour,shoulder,4,0.1,65.35,moderate,222.07
102183,Standard Apartment,1,1,64.9,3.61,4,same day,off-peak,2,2.5,31.71,flexible,82.36
102782,Luxury Home,5,5,83.4,3.33,14,within an hour,shoulder,4,4.2,64.2,flexible,413.01
102334,Standard Apartment,1,1,82.43,4.59,7,within an hour,shoulder,1,0.4,31.01,flexible,112.33
100538,Standard Apartment,1,2,78.87,4.44,11,same day,peak,2,7.3,19.24,flexible,223.28
102879,Standard Apartment,1,3,69.0,3.83,7,within an hour,shoulder,2,0.8,26.7,flexible,256.84
102133,Standard Apartment,1,2,70.51,4.21,5,within an hour,peak,1,5.4,24.08,moderate,98.42
100768,Standard Apartment,2,4,79.82,4.26,8,same day,peak,3,3.3,15.06,flexible,187.25
100876,Luxury Home,5,5,73.82,3.92,12,same day,off-peak,3,2.5,48.86,flexible,125.55
100038,Standard Apartment,1,2,60.91,4.22,4,within an hour,peak,1,6.1,43.35,flexible,117.32
100639,Luxury Home,5,6,64.06,4.39,9,same day,peak,5,10.4,51.32,flexible,258.42
101443,Standard Apartment,1,1,59.85,3.13,3,within an hour,shoulder,2,17.6,36.4,strict,110.28
101588,Tiny Studio,1,2,67.16,4.08,4,same day,off-peak,1,3.4,13.73,strict,73.24
100828,Tiny Studio,1,3,72.43,4.1,4,same day,peak,1,1.2,10.65,flexible,214.83
102744,Tiny Studio,1,3,88.09,4.71,10,same day,peak,1,6.2,18.39,moderate,72.54
102938,Standard Apartment,1,3,63.27,4.05,4,same day,peak,3,3.2,38.97,strict,145.9
102724,Standard Apartment,2,3,90.62,4.22,10,within an hour,peak,2,1.2,28.29,flexible,231.99
101958,Luxury Home,4,5,65.63,4.38,13,within an hour,shoulder,3,8.1,64.31,moderate,378.2
102071,Standard Apartment,2,4,67.25,3.64,9,within an hour,shoulder,1,4.1,53.13,strict,76.45
101440,Standard Apartment,1,2,78.02,4.65,9,same day,shoulder,1,1.8,29.32,flexible,149.66
100215,Standard Apartment,1,3,88.48,5.0,12,within an hour,shoulder,3,1.8,44.12,strict,93.18
100478,Standard Apartment,2,2,65.26,3.72,9,>24 hours,off-peak,1,16.5,22.47,flexible,127.75
101785,Luxury Home,5,7,80.36,4.39,15,same day,shoulder,5,1.4,67.67,strict,269.3
100286,Standard Apartment,1,1,50.16,3.03,3,within an hour,off-peak,2,0.3,10.24,strict,86.92
103340,Tiny Studio,1,1,83.46,4.43,7,same day,shoulder,1,2.3,15.8,strict,127.46
101705,Luxury Home,3,3,76.04,4.68,12,same day,off-peak,5,6.5,53.46,flexible,120.56
102696,Standard Apartment,1,3,72.79,3.08,5,within an hour,shoulder,1,2.6,18.68,moderate,156.45
102534,Tiny Studio,1,3,63.24,3.32,6,same day,shoulder,1,4.7,24.52,flexible,143.13
100271,Standard Apartment,1,2,42.29,3.36,5,within an hour,off-peak,3,0.2,50.5,moderate,100.82
101737,Standard Apartment,2,3,64.45,4.03,7,within an hour,peak,1,3.4,10.97,flexible,83.3
100833,Luxury Home,4,4,71.17,3.64,10,same day,shoulder,2,0.2,68.19,flexible,79.43
102862,Standard Apartment,1,3,81.85,4.53,11,>24 hours,off-peak,2,2.4,15.76,flexible,73.65
101885,Tiny Studio,1,2,66.2,3.47,3,within an hour,off-peak,1,2.1,17.82,moderate,152.08
103332,Standard Apartment,1,2,67.49,3.53,5,same day,shoulder,2,8.7,31.7,moderate,106.44
103117,Standard Apartment,2,3,63.51,4.48,7,within an hour,shoulder,2,0.4,45.55,flexible,136.53
100592,Luxury Home,3,5,75.08,4.1,11,same day,peak,4,0.0,66.63,flexible,315.52
101605,Luxury Home,3,4,77.35,3.92,5,same day,off-peak,5,0.4,75.08,strict,346.33
101065,Tiny Studio,1,1,63.29,3.91,7,within an hour,peak,1,0.6,19.5,flexible,70.15
103232,Standard Apartment,2,4,75.67,4.7,8,same day,off-peak,3,0.9,44.49,flexible,164.39
103899,Standard Apartment,1,2,69.31,4.01,7,within an hour,peak,2,5.1,44.22,flexible,156.4
102237,Luxury Home,3,4,81.39,4.01,12,within an hour,peak,5,1.4,59.76,flexible,414.12
100165,Standard Apartment,2,4,57.91,4.08,7,same day,peak,1,5.5,39.76,flexible,214.26
103492,Tiny Studio,1,2,70.35,4.31,5,within an hour,shoulder,1,1.0,5.3,flexible,79.7
102477,Standard Apartment,2,3,65.92,4.45,6,same day,peak,1,5.9,10.57,moderate,311.6
101872,Luxury Home,3,3,51.54,3.54,6,same day,peak,3,0.0,84.01,moderate,548.98
103151,Standard Apartment,1,3,75.62,4.33,7,within an hour,peak,1,8.2,38.56,moderate,242.78
101206,Standard Apartment,1,2,68.78,4.47,6,within an hour,peak,3,4.1,41.02,flexible,380.54
103567,Standard Apartment,1,3,66.45,4.09,8,within an hour,peak,1,1.6,30.72,moderate,141.8
102880,Tiny Studio,1,3,61.65,4.59,5,within an hour,peak,1,2.6,27.54,flexible,88.69
100140,Standard Apartment,1,1,47.33,3.9,3,within an hour,off-peak,3,8.1,25.04,strict,113.9
102828,Tiny Studio,1,1,68.46,4.82,6,within an hour,shoulder,1,2.6,15.81,flexible,105.47
101397,Standard Apartment,2,4,72.4,4.36,11,same day,shoulder,3,0.8,34.21,strict,183.35
102064,Luxury Home,5,5,59.72,2.8,8,>24 hours,off-peak,3,2.6,54.34,moderate,161.65
100467,Standard Apartment,2,2,64.39,3.75,7,within an hour,shoulder,3,6.2,32.83,flexible,295.45
101712,Luxury Home,4,5,64.98,3.31,13,within an hour,off-peak,5,13.1,64.49,moderate,232.88
102088,Tiny Studio,1,1,78.0,4.25,11,same day,peak,1,2.6,21.79,flexible,77.37
102107,Standard Apartment,2,2,75.38,3.87,9,>24 hours,shoulder,2,0.5,29.99,moderate,153.19
100091,Standard Apartment,2,3,62.71,4.51,8,within an hour,peak,2,4.4,42.44,strict,213.57
100703,Standard Apartment,1,2,63.54,3.76,3,same day,shoulder,1,17.3,22.12,moderate,81.77
103924,Luxury Home,4,6,52.23,4.12,7,same day,shoulder,5,1.9,80.52,strict,273.42
100138,Standard Apartment,1,1,70.18,3.66,7,>24 hours,peak,2,1.5,39.33,flexible,175.79
100224,Standard Apartment,1,2,72.23,3.87,8,within an hour,off-peak,2,2.4,33.11,moderate,45.78
102298,Luxury Home,4,4,94.67,4.12,14,>24 hours,shoulder,2,0.5,60.78,moderate,190.71
101959,Standard Apartment,1,3,66.29,4.66,9,within an hour,peak,1,10.7,22.55,flexible,148.11
102501,Luxury Home,3,3,67.33,4.88,9,>24 hours,shoulder,2,5.5,63.9,flexible,217.23
101099,Standard Apartment,1,1,66.48,3.92,5,within an hour,off-peak,1,0.4,23.15,strict,43.25
100800,Standard Apartment,1,1,56.87,2.91,3,same day,peak,3,8.7,41.73,moderate,158.08
102427,Luxury Home,3,4,71.98,4.24,13,same day,peak,5,8.6,55.89,moderate,288.08
100381,Tiny Studio,1,2,73.59,4.34,5,same day,off-peak,1,1.1,19.74,moderate,125.46
100810,Luxury Home,3,5,76.05,3.92,12,same day,off-peak,4,2.9,65.68,moderate,235.34
103245,Luxury Home,5,5,57.46,4.9,9,within an hour,peak,5,0.4,48.45,flexible,269.59
102066,Luxury Home,4,6,82.32,5.0,13,same day,off-peak,2,0.3,80.23,moderate,206.73
100517,Standard Apartment,1,3,59.33,2.71,3,>24 hours,peak,1,2.1,27.54,flexible,398.2
101125,Standard Apartment,2,3,79.83,3.6,10,within an hour,off-peak,2,0.2,44.4,flexible,93.88
101212,Standard Apartment,2,2,99.46,4.89,12,same day,shoulder,3,6.2,26.58,strict,123.5
101951,Luxury Home,5,5,52.56,3.17,11,same day,off-peak,5,7.9,55.4,strict,169.65
101787,Luxury Home,3,5,62.23,3.92,8,same day,off-peak,5,0.2,68.26,moderate,98.98
100963,Standard Apartment,2,2,77.13,4.04,9,same day,peak,1,0.1,46.39,flexible,139.91
101315,Tiny Studio,1,2,56.24,3.83,5,same day,peak,1,0.8,19.04,flexible,114.15
100297,Tiny Studio,1,3,48.61,4.04,4,same day,shoulder,1,8.0,20.84,flexible,54.13
102939,Luxury Home,5,7,67.61,4.92,13,same day,peak,3,4.4,30.07,moderate,1000.0
102807,Standard Apartment,2,3,69.6,3.88,6,>24 hours,shoulder,2,3.4,49.47,strict,118.78
103425,Tiny Studio,1,2,69.86,3.54,5,same day,off-peak,1,4.5,16.84,strict,55.93
100188,Standard Apartment,2,3,66.22,3.8,5,same day,peak,3,0.7,33.45,moderate,226.93
103417,Tiny Studio,1,2,85.36,4.17,8,within an hour,shoulder,1,0.9,14.03,strict,64.14
100832,Luxury Home,4,5,56.44,4.76,12,within an hour,peak,2,1.1,43.03,strict,262.21
101960,Tiny Studio,1,2,80.78,4.25,7,same day,shoulder,1,2.8,16.1,flexible,65.84
101943,Standard Apartment,1,3,79.11,4.45,8,same day,peak,3,2.8,38.11,moderate,210.78
100797,Tiny Studio,1,1,59.57,3.96,3,within an hour,peak,1,0.7,23.15,flexible,158.08
100856,Standard Apartment,1,1,74.95,4.05,5,within an hour,off-peak,3,1.7,46.43,flexible,119.06
101084,Standard Apartment,2,4,85.36,5.0,10,within an hour,off-peak,3,3.5,54.18,flexible,181.14
101791,Tiny Studio,1,1,64.69,3.23,6,same day,off-peak,1,1.1,10.34,moderate,72.12
100614,Luxury Home,3,3,80.78,4.54,9,same day,off-peak,2,0.2,46.97,moderate,293.01
103738,Standard Apartment,2,4,67.94,4.87,10,>24 hours,shoulder,1,0.7,17.95,strict,340.41
103890,Standard Apartment,2,2,87.91,3.83,10,within an hour,off-peak,1,0.5,31.92,moderate,132.33
102826,Standard Apartment,1,1,54.13,3.8,5,within an hour,peak,1,3.0,32.61,flexible,136.51
100641,Tiny Studio,1,3,58.41,3.81,3,within an hour,peak,1,0.2,11.21,flexible,58.32
